Locality,Sub_locality,Street,Code
Grand Bay,Morc Villa Pereybere,,30538
Grand Bay,Morc Oreb,,30539
Grand Bay,Morc Jaulim,,30540
Grand Bay,Morc Comty,,30541
Grand Bay,Morc Jitsing,,30542
Grand Bay,Morc Ramdin,,30543
Grand Bay,Macumba,,30544
Grand Bay,Oasis 2_res,,30545
Grand Bay,Pereybere,,30546
Grand Bay,Pointe DAzur,,30547
Grand Bay,Richmond Hill,,30548
Grand Bay,Racket,,30549
Grand Bay,Sottise,,30550
Grand Bay,Super U,,30551
Grand Bel Air,Grand Bel Air,,50301
Grand Bois,Morc SIT,,60509
Grand Bois,NHDC Grand Bois,,60510
Grand Bois,NHDC Legrand,,60511
Grand Bois,Old Savanne Rd,,60512
Grand Bois,Sewsagur Rd,,60513
Grand Bois,Young Tow,,60514
Grand Bois,Allee Jacques,,60501
Grand Bois,Camp Bananes,,60502
Grand Bois,College Lane,,60503
Grand Bois,Fazerally Road,,60504
Grand Bois,Le Grand Road,,60507
Grand Bois,Media,,60508
Grand Bois,Grand Bois_boolaky road,,60505
Grand Bois,La Forge Road,,60506
Grand Gaube,Arya Mandir,,30601
Grand Gaube,Batie,,30602
Grand Gaube,Butte a LHerbe,,30603
Grand Gaube,Calodyne,,30604
Grand Gaube,Camp Corail,,30605
Grand Gaube,Camp Madras,,30606
Grand Gaube,Camp Petrol,,30607
Grand Gaube,Citerne,,30608
Grand Gaube,Cite EDC,,30609
