pincode,state,countryCode
"=""124412""",HARYANA,IN
"=""124501""",HARYANA,IN
"=""124504""",HARYANA,IN
"=""124505""",HARYANA,IN
"=""124506""",HARYANA,IN
"=""124507""",HARYANA,IN
"=""124508""",HARYANA,IN
"=""124513""",HARYANA,IN
"=""124514""",HARYANA,IN
"=""124515""",HARYANA,IN
"=""125001""",HARYANA,IN
"=""125004""",HARYANA,IN
"=""125005""",HARYANA,IN
"=""125006""",HARYANA,IN
"=""125007""",HARYANA,IN
"=""125011""",HARYANA,IN
"=""125033""",HARYANA,IN
"=""125037""",HARYANA,IN
"=""125038""",HARYANA,IN
"=""125039""",HARYANA,IN
"=""125042""",HARYANA,IN
"=""125044""",HARYANA,IN
"=""125047""",HARYANA,IN
"=""125048""",HARYANA,IN
"=""125049""",HARYANA,IN
"=""125050""",HARYANA,IN
"=""125051""",HARYANA,IN
"=""125052""",HARYANA,IN
"=""125053""",HARYANA,IN
"=""125054""",HARYANA,IN
"=""125055""",HARYANA,IN
"=""125056""",HARYANA,IN
"=""125058""",HARYANA,IN
"=""125060""",HARYANA,IN
"=""125061""",HARYANA,IN
"=""125075""",HARYANA,IN
"=""125076""",HARYANA,IN
"=""125077""",HARYANA,IN
"=""125078""",HARYANA,IN
"=""125101""",HARYANA,IN
"=""125102""",HARYANA,IN
"=""125103""",HARYANA,IN
"=""125104""",HARYANA,IN
"=""125106""",HARYANA,IN
"=""125110""",HARYANA,IN
"=""125111""",HARYANA,IN
"=""125112""",HARYANA,IN
"=""125113""",HARYANA,IN
"=""125120""",HARYANA,IN
"=""125121""",HARYANA,IN
"=""125133""",HARYANA,IN
"=""125201""",HARYANA,IN
"=""126101""",HARYANA,IN
"=""126102""",HARYANA,IN
"=""126110""",HARYANA,IN
"=""126111""",HARYANA,IN
"=""126112""",HARYANA,IN
"=""126113""",HARYANA,IN
"=""126114""",HARYANA,IN
"=""126115""",HARYANA,IN
"=""126116""",HARYANA,IN
"=""126125""",HARYANA,IN
"=""126152""",HARYANA,IN
"=""127021""",HARYANA,IN
"=""127022""",HARYANA,IN
"=""127025""",HARYANA,IN
"=""127026""",HARYANA,IN
"=""127027""",HARYANA,IN
"=""127028""",HARYANA,IN
"=""127029""",HARYANA,IN
"=""127030""",HARYANA,IN
"=""127031""",HARYANA,IN
"=""127032""",HARYANA,IN
"=""127035""",HARYANA,IN
"=""127040""",HARYANA,IN
"=""127041""",HARYANA,IN
"=""127042""",HARYANA,IN
"=""127043""",HARYANA,IN
"=""127045""",HARYANA,IN
"=""127046""",HARYANA,IN
"=""127111""",HARYANA,IN
"=""127114""",HARYANA,IN
"=""127201""",HARYANA,IN
"=""127306""",HARYANA,IN
"=""127307""",HARYANA,IN
"=""127308""",HARYANA,IN
"=""127309""",HARYANA,IN
"=""127310""",HARYANA,IN
"=""127311""",HARYANA,IN
"=""127312""",HARYANA,IN
"=""131001""",HARYANA,IN
"=""131021""",HARYANA,IN
"=""131022""",HARYANA,IN
"=""131023""",HARYANA,IN
"=""131024""",HARYANA,IN
"=""131027""",HARYANA,IN
"=""131028""",HARYANA,IN
"=""131029""",HARYANA,IN
"=""131030""",HARYANA,IN
"=""131039""",HARYANA,IN
"=""131101""",HARYANA,IN
"=""131102""",HARYANA,IN
"=""131103""",HARYANA,IN
"=""131301""",HARYANA,IN
"=""131302""",HARYANA,IN
"=""131304""",HARYANA,IN
"=""131305""",HARYANA,IN
"=""131306""",HARYANA,IN
"=""131402""",HARYANA,IN
"=""131403""",HARYANA,IN
"=""131408""",HARYANA,IN
"=""131409""",HARYANA,IN
"=""132001""",HARYANA,IN
"=""132022""",HARYANA,IN
"=""132023""",HARYANA,IN
"=""132024""",HARYANA,IN
"=""132036""",HARYANA,IN
"=""132037""",HARYANA,IN
"=""132039""",HARYANA,IN
"=""132040""",HARYANA,IN
"=""132041""",HARYANA,IN
"=""132046""",HARYANA,IN
"=""132054""",HARYANA,IN
"=""132101""",HARYANA,IN
"=""132102""",HARYANA,IN
"=""132103""",HARYANA,IN
"=""132104""",HARYANA,IN
"=""132105""",HARYANA,IN
"=""132106""",HARYANA,IN
"=""132107""",HARYANA,IN
"=""132108""",HARYANA,IN
"=""132113""",HARYANA,IN
"=""132114""",HARYANA,IN
"=""132115""",HARYANA,IN
"=""132116""",HARYANA,IN
"=""132117""",HARYANA,IN
"=""132122""",HARYANA,IN
"=""132140""",HARYANA,IN
"=""132145""",HARYANA,IN
"=""132157""",HARYANA,IN
"=""133001""",HARYANA,IN
"=""133004""",HARYANA,IN
"=""133005""",HARYANA,IN
"=""133006""",HARYANA,IN
"=""133008""",HARYANA,IN
"=""133010""",HARYANA,IN
"=""133101""",HARYANA,IN
"=""133102""",HARYANA,IN
"=""133103""",HARYANA,IN
"=""133104""",HARYANA,IN
"=""133201""",HARYANA,IN
"=""133202""",HARYANA,IN
"=""133203""",HARYANA,IN
"=""133204""",HARYANA,IN
"=""133205""",HARYANA,IN
"=""133206""",HARYANA,IN
"=""133207""",HARYANA,IN
"=""133301""",HARYANA,IN
"=""133302""",HARYANA,IN
"=""134003""",HARYANA,IN
"=""134005""",HARYANA,IN
"=""134007""",HARYANA,IN
"=""134008""",HARYANA,IN
"=""134101""",HARYANA,IN
"=""134102""",HARYANA,IN
"=""134103""",HARYANA,IN
"=""134104""",HARYANA,IN
"=""134105""",HARYANA,IN
"=""134107""",HARYANA,IN
"=""134108""",HARYANA,IN
"=""134109""",HARYANA,IN
"=""134112""",HARYANA,IN
"=""134113""",HARYANA,IN
"=""134114""",HARYANA,IN
"=""134116""",HARYANA,IN
"=""134117""",HARYANA,IN
"=""134118""",HARYANA,IN
"=""134201""",HARYANA,IN
"=""134202""",HARYANA,IN
"=""134203""",HARYANA,IN
"=""134204""",HARYANA,IN
"=""134205""",HARYANA,IN
"=""135001""",HARYANA,IN
"=""135002""",HARYANA,IN
"=""135003""",HARYANA,IN
"=""135004""",HARYANA,IN
"=""135021""",HARYANA,IN
"=""135101""",HARYANA,IN
"=""135102""",HARYANA,IN
"=""135103""",HARYANA,IN
"=""135106""",HARYANA,IN
"=""135133""",HARYANA,IN
"=""136020""",HARYANA,IN
"=""136021""",HARYANA,IN
"=""136026""",HARYANA,IN
"=""136027""",HARYANA,IN
"=""136030""",HARYANA,IN
"=""136033""",HARYANA,IN
"=""136034""",HARYANA,IN
"=""136035""",HARYANA,IN
"=""136038""",HARYANA,IN
"=""136042""",HARYANA,IN
"=""136043""",HARYANA,IN
"=""136044""",HARYANA,IN
"=""136117""",HARYANA,IN
"=""136118""",HARYANA,IN
"=""136119""",HARYANA,IN
"=""136128""",HARYANA,IN
"=""136129""",HARYANA,IN
"=""136130""",HARYANA,IN
"=""136131""",HARYANA,IN
"=""136132""",HARYANA,IN
"=""136134""",HARYANA,IN
"=""136135""",HARYANA,IN
"=""136136""",HARYANA,IN
"=""136156""",HARYANA,IN
"=""140001""",PUNJAB,IN
"=""140101""",PUNJAB,IN
"=""140102""",PUNJAB,IN
"=""140103""",PUNJAB,IN
"=""140108""",PUNJAB,IN
"=""140109""",PUNJAB,IN
"=""140110""",PUNJAB,IN
"=""140111""",PUNJAB,IN
"=""140112""",PUNJAB,IN
"=""140113""",PUNJAB,IN
"=""140114""",PUNJAB,IN
"=""140115""",PUNJAB,IN
"=""140116""",PUNJAB,IN
"=""140117""",PUNJAB,IN
"=""140118""",PUNJAB,IN
"=""140119""",PUNJAB,IN
"=""140123""",PUNJAB,IN
"=""140124""",PUNJAB,IN
"=""140125""",PUNJAB,IN
"=""140126""",PUNJAB,IN
"=""140127""",PUNJAB,IN
"=""140128""",PUNJAB,IN
"=""140133""",PUNJAB,IN
"=""140201""",PUNJAB,IN
"=""140301""",PUNJAB,IN
"=""140306""",PUNJAB,IN
"=""140307""",PUNJAB,IN
"=""140308""",PUNJAB,IN
"=""140401""",PUNJAB,IN
"=""140402""",PUNJAB,IN
"=""140405""",PUNJAB,IN
"=""140406""",PUNJAB,IN
"=""140407""",PUNJAB,IN
"=""140408""",PUNJAB,IN
"=""140412""",PUNJAB,IN
"=""140413""",PUNJAB,IN
"=""140417""",PUNJAB,IN
"=""140501""",PUNJAB,IN
"=""140506""",PUNJAB,IN
"=""140507""",PUNJAB,IN
"=""140601""",PUNJAB,IN
"=""140602""",PUNJAB,IN
"=""140603""",PUNJAB,IN
"=""140604""",PUNJAB,IN
"=""140701""",PUNJAB,IN
"=""140702""",PUNJAB,IN
"=""140802""",PUNJAB,IN
"=""140901""",PUNJAB,IN
"=""141001""",PUNJAB,IN
"=""141002""",PUNJAB,IN
"=""141003""",PUNJAB,IN
"=""141004""",PUNJAB,IN
"=""141006""",PUNJAB,IN
"=""141007""",PUNJAB,IN
"=""141008""",PUNJAB,IN
"=""141010""",PUNJAB,IN
"=""141011""",PUNJAB,IN
"=""141012""",PUNJAB,IN
"=""141013""",PUNJAB,IN
"=""141014""",PUNJAB,IN
"=""141015""",PUNJAB,IN
"=""141016""",PUNJAB,IN
"=""141101""",PUNJAB,IN
"=""141102""",PUNJAB,IN
"=""141103""",PUNJAB,IN
"=""141104""",PUNJAB,IN
"=""141105""",PUNJAB,IN
"=""141106""",PUNJAB,IN
"=""141107""",PUNJAB,IN
"=""141108""",PUNJAB,IN
"=""141109""",PUNJAB,IN
"=""141110""",PUNJAB,IN
"=""141112""",PUNJAB,IN
"=""141113""",PUNJAB,IN
"=""141114""",PUNJAB,IN
"=""141115""",PUNJAB,IN
"=""141116""",PUNJAB,IN
"=""141117""",PUNJAB,IN
"=""141118""",PUNJAB,IN
"=""141119""",PUNJAB,IN
"=""141120""",PUNJAB,IN
"=""141121""",PUNJAB,IN
"=""141122""",PUNJAB,IN
"=""141123""",PUNJAB,IN
"=""141125""",PUNJAB,IN
"=""141126""",PUNJAB,IN
"=""141127""",PUNJAB,IN
"=""141201""",PUNJAB,IN
"=""141202""",PUNJAB,IN
"=""141203""",PUNJAB,IN
"=""141204""",PUNJAB,IN
"=""141205""",PUNJAB,IN
"=""141206""",PUNJAB,IN
"=""141401""",PUNJAB,IN
"=""141411""",PUNJAB,IN
"=""141412""",PUNJAB,IN
"=""141413""",PUNJAB,IN
"=""141414""",PUNJAB,IN
"=""141415""",PUNJAB,IN
"=""141416""",PUNJAB,IN
"=""141417""",PUNJAB,IN
"=""141418""",PUNJAB,IN
"=""141419""",PUNJAB,IN
"=""141421""",PUNJAB,IN
"=""141422""",PUNJAB,IN
"=""141801""",PUNJAB,IN
"=""142001""",PUNJAB,IN
"=""142002""",PUNJAB,IN
"=""142003""",PUNJAB,IN
"=""142011""",PUNJAB,IN
